username,repo_name,stars,repo_url
sindresorhus,awesome,40100,https://gtihub.com/sindresorhus/awesome
vinta,awesome-python,26000,https://gtihub.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,24700,https://gtihub.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,18600,https://gtihub.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,15300,https://gtihub.com/avelino/awesome-go
521xueweihan,HelloGitHub,12800,https://gtihub.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,9830,https://gtihub.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,9780,https://gtihub.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,8850,https://gtihub.com/jaywcjlove/awesome-mac
MunGell,awesome-for-beginners,7770,https://gtihub.com/MunGell/awesome-for-beginners
DopplerHQ,awesome-interview-questions,7720,https://gtihub.com/DopplerHQ/awesome-interview-questions
enaqx,awesome-react,6990,https://gtihub.com/enaqx/awesome-react
fffaraz,awesome-cpp,6640,https://gtihub.com/fffaraz/awesome-cpp
binhnguyennus,awesome-scalability,6540,https://gtihub.com/binhnguyennus/awesome-scalability
prakhar1989,awesome-courses,6290,https://gtihub.com/prakhar1989/awesome-courses
sindresorhus,awesome-nodejs,6270,https://gtihub.com/sindresorhus/awesome-nodejs
Solido,awesome-flutter,5720,https://gtihub.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,5380,https://gtihub.com/wasabeef/awesome-android-ui
rust-unofficial,awesome-rust,5270,https://gtihub.com/rust-unofficial/awesome-rust
tiimgreen,github-cheat-sheet,5250,https://gtihub.com/tiimgreen/github-cheat-sheet
