username,repo_name,stars,repo_url
twbs,bootstrap,17300,https://gtihub.com/twbs/bootstrap
Chalarangelo,30-seconds-of-code,12500,https://gtihub.com/Chalarangelo/30-seconds-of-code
electron,electron,11800,https://gtihub.com/electron/electron
microsoft,Web-Dev-For-Beginners,9190,https://gtihub.com/microsoft/Web-Dev-For-Beginners
tailwindlabs,tailwindcss,9020,https://gtihub.com/tailwindlabs/tailwindcss
florinpop17,app-ideas,8530,https://gtihub.com/florinpop17/app-ideas
animate-css,animate.css,8220,https://gtihub.com/animate-css/animate.css
FortAwesome,Font-Awesome,7570,https://gtihub.com/FortAwesome/Font-Awesome
thedaviddias,Front-End-Checklist,7130,https://gtihub.com/thedaviddias/Front-End-Checklist
juliangarnier,anime,6390,https://gtihub.com/juliangarnier/anime
h5bp,html5-boilerplate,5720,https://gtihub.com/h5bp/html5-boilerplate
necolas,normalize.css,5340,https://gtihub.com/necolas/normalize.css
prettier,prettier,5100,https://gtihub.com/prettier/prettier
jgthms,bulma,4990,https://gtihub.com/jgthms/bulma
Asabeneh,30-Days-Of-JavaScript,4510,https://gtihub.com/Asabeneh/30-Days-Of-JavaScript
ColorlibHQ,AdminLTE,4500,https://gtihub.com/ColorlibHQ/AdminLTE
vercel,hyper,4430,https://gtihub.com/vercel/hyper
parcel-bundler,parcel,4400,https://gtihub.com/parcel-bundler/parcel
yangshun,front-end-interview-handbook,4350,https://gtihub.com/yangshun/front-end-interview-handbook
styled-components,styled-components,4090,https://gtihub.com/styled-components/styled-components
