username,repo_name,stars,repo_url
electron,electron,11800,https://gtihub.com/electron/electron
puppeteer,puppeteer,9240,https://gtihub.com/puppeteer/puppeteer
microsoft,playwright,7720,https://gtihub.com/microsoft/playwright
FiloSottile,mkcert,5660,https://gtihub.com/FiloSottile/mkcert
jaywcjlove,linux-command,3440,https://gtihub.com/jaywcjlove/linux-command
feder-cr,Jobs_Applier_AI_Agent_AIHawk,2880,https://gtihub.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk
ovity,octotree,2310,https://gtihub.com/ovity/octotree
segment-boneyard,nightmare,1980,https://gtihub.com/segment-boneyard/nightmare
gildas-lormeau,SingleFile,1910,https://gtihub.com/gildas-lormeau/SingleFile
GoogleChrome,chrome-extensions-samples,1680,https://gtihub.com/GoogleChrome/chrome-extensions-samples
xifangczy,cat-catch,1560,https://gtihub.com/xifangczy/cat-catch
checkly,headless-recorder,1520,https://gtihub.com/checkly/headless-recorder
google,WebFundamentals,1390,https://gtihub.com/google/WebFundamentals
schickling,chromeless,1320,https://gtihub.com/schickling/chromeless
moonD4rk,HackBrowserData,1290,https://gtihub.com/moonD4rk/HackBrowserData
crimx,ext-saladict,1280,https://gtihub.com/crimx/ext-saladict
MetaMask,metamask-extension,1280,https://gtihub.com/MetaMask/metamask-extension
chromedp,chromedp,1230,https://gtihub.com/chromedp/chromedp
casesandberg,react-color,1220,https://gtihub.com/casesandberg/react-color
ajayyy,SponsorBlock,1200,https://gtihub.com/ajayyy/SponsorBlock
