username,repo_name,stars,repo_url
realm,SwiftLint,1920,https://gtihub.com/realm/SwiftLint
facebook,infer,1540,https://gtihub.com/facebook/infer
analysis-tools-dev,static-analysis,1410,https://gtihub.com/analysis-tools-dev/static-analysis
federico-busato,Modern-CPP-Programming,1380,https://gtihub.com/federico-busato/Modern-CPP-Programming
keploy,keploy,1090,https://gtihub.com/keploy/keploy
Kristories,awesome-guidelines,1030,https://gtihub.com/Kristories/awesome-guidelines
super-linter,super-linter,1010,https://gtihub.com/super-linter/super-linter
SonarSource,sonarqube,990,https://gtihub.com/SonarSource/sonarqube
reviewdog,reviewdog,869,https://gtihub.com/reviewdog/reviewdog
checkstyle,checkstyle,869,https://gtihub.com/checkstyle/checkstyle
facebook,pyre-check,710,https://gtihub.com/facebook/pyre-check
detekt,detekt,670,https://gtihub.com/detekt/detekt
trekhleb,state-of-the-art-shitcode,600,https://gtihub.com/trekhleb/state-of-the-art-shitcode
import-js,eslint-plugin-import,580,https://gtihub.com/import-js/eslint-plugin-import
pylint-dev,pylint,560,https://gtihub.com/pylint-dev/pylint
pmd,pmd,520,https://gtihub.com/pmd/pmd
kucherenko,jscpd,500,https://gtihub.com/kucherenko/jscpd
simplecov-ruby,simplecov,490,https://gtihub.com/simplecov-ruby/simplecov
phpro,grumphp,420,https://gtihub.com/phpro/grumphp
facebook,pyrefly,370,https://gtihub.com/facebook/pyrefly
