username,repo_name,stars,repo_url
vercel,next.js,13500,https://gtihub.com/vercel/next.js
rust-lang,rust,10700,https://gtihub.com/rust-lang/rust
sveltejs,svelte,8410,https://gtihub.com/sveltejs/svelte
webpack,webpack,6559,https://gtihub.com/webpack/webpack
FuelLabs,sway,6210,https://gtihub.com/FuelLabs/sway
gatsbyjs,gatsby,5590,https://gtihub.com/gatsbyjs/gatsby
JetBrains,kotlin,5130,https://gtihub.com/JetBrains/kotlin
typst,typst,4560,https://gtihub.com/typst/typst
parcel-bundler,parcel,4400,https://gtihub.com/parcel-bundler/parcel
babel,babel,4370,https://gtihub.com/babel/babel
ziglang,zig,4110,https://gtihub.com/ziglang/zig
evanw,esbuild,3929,https://gtihub.com/evanw/esbuild
vlang,v,3670,https://gtihub.com/vlang/v
markedjs,marked,3560,https://gtihub.com/markedjs/marked
carbon-language,carbon-lang,3320,https://gtihub.com/carbon-language/carbon-lang
swc-project,swc,3270,https://gtihub.com/swc-project/swc
v8,v8,2440,https://gtihub.com/v8/v8
vercel,pkg,2440,https://gtihub.com/vercel/pkg
oracle,graal,2110,https://gtihub.com/oracle/graal
RustPython,RustPython,2050,https://gtihub.com/RustPython/RustPython
