username,repo_name,stars,repo_url
supabase,supabase,8870,https://gtihub.com/supabase/supabase
netdata,netdata,7590,https://gtihub.com/netdata/netdata
redis,redis,7090,https://gtihub.com/redis/redis
meilisearch,meilisearch,5320,https://gtihub.com/meilisearch/meilisearch
etcd-io,etcd,5030,https://gtihub.com/etcd-io/etcd
dbeaver,dbeaver,4540,https://gtihub.com/dbeaver/dbeaver
LeCoupa,awesome-cheatsheets,4430,https://gtihub.com/LeCoupa/awesome-cheatsheets
prisma,prisma,4380,https://gtihub.com/prisma/prisma
metabase,metabase,4370,https://gtihub.com/metabase/metabase
ClickHouse,ClickHouse,4290,https://gtihub.com/ClickHouse/ClickHouse
pingcap,tidb,3900,https://gtihub.com/pingcap/tidb
QuivrHQ,quivr,3840,https://gtihub.com/QuivrHQ/quivr
huihut,interview,3679,https://gtihub.com/huihut/interview
SheetJS,sheetjs,3590,https://gtihub.com/SheetJS/sheetjs
typeorm,typeorm,3579,https://gtihub.com/typeorm/typeorm
sqlmapproject,sqlmap,3529,https://gtihub.com/sqlmapproject/sqlmap
duckdb,duckdb,3290,https://gtihub.com/duckdb/duckdb
directus,directus,3229,https://gtihub.com/directus/directus
cockroachdb,cockroach,3130,https://gtihub.com/cockroachdb/cockroach
influxdata,influxdb,3060,https://gtihub.com/influxdata/influxdb
