username,repo_name,stars,repo_url
facebook,react,23900,https://gtihub.com/facebook/react
vuejs,vue,20900,https://gtihub.com/vuejs/vue
vitejs,vite,7530,https://gtihub.com/vitejs/vite
thedaviddias,Front-End-Checklist,7130,https://gtihub.com/thedaviddias/Front-End-Checklist
ionic-team,ionic-framework,5210,https://gtihub.com/ionic-team/ionic-framework
dypsilon,frontend-dev-bookmarks,4490,https://gtihub.com/dypsilon/frontend-dev-bookmarks
LeCoupa,awesome-cheatsheets,4430,https://gtihub.com/LeCoupa/awesome-cheatsheets
expo,expo,4340,https://gtihub.com/expo/expo
NaiboWang,EasySpider,4250,https://gtihub.com/NaiboWang/EasySpider
GitHubDaily,GitHubDaily,4210,https://gtihub.com/GitHubDaily/GitHubDaily
QuivrHQ,quivr,3840,https://gtihub.com/QuivrHQ/quivr
fastapi,full-stack-fastapi-template,3779,https://gtihub.com/fastapi/full-stack-fastapi-template
xitu,gold-miner,3429,https://gtihub.com/xitu/gold-miner
CorentinTh,it-tools,3290,https://gtihub.com/CorentinTh/it-tools
mouredev,Hello-Python,3210,https://gtihub.com/mouredev/Hello-Python
ascoders,weekly,3050,https://gtihub.com/ascoders/weekly
haizlin,fe-interview,2610,https://gtihub.com/haizlin/fe-interview
Dokploy,dokploy,2450,https://gtihub.com/Dokploy/dokploy
iview,iview,2390,https://gtihub.com/iview/iview
onlook-dev,onlook,2250,https://gtihub.com/onlook-dev/onlook
