username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,42800,https://gtihub.com/freeCodeCamp/freeCodeCamp
practical-tutorials,project-based-learning,24400,https://gtihub.com/practical-tutorials/project-based-learning
facebook,react,23900,https://gtihub.com/facebook/react
vuejs,vue,20900,https://gtihub.com/vuejs/vue
trekhleb,javascript-algorithms,19300,https://gtihub.com/trekhleb/javascript-algorithms
getify,You-Dont-Know-JS,18300,https://gtihub.com/getify/You-Dont-Know-JS
twbs,bootstrap,17300,https://gtihub.com/twbs/bootstrap
airbnb,javascript,14700,https://gtihub.com/airbnb/javascript
Chalarangelo,30-seconds-of-code,12500,https://gtihub.com/Chalarangelo/30-seconds-of-code
electron,electron,11800,https://gtihub.com/electron/electron
justjavac,free-programming-books-zh_CN,11500,https://gtihub.com/justjavac/free-programming-books-zh_CN
nodejs,node,11300,https://gtihub.com/nodejs/node
mrdoob,three.js,10900,https://gtihub.com/mrdoob/three.js
axios,axios,10800,https://gtihub.com/axios/axios
microsoft,TypeScript,10600,https://gtihub.com/microsoft/TypeScript
denoland,deno,10400,https://gtihub.com/denoland/deno
goldbergyoni,nodebestpractices,10400,https://gtihub.com/goldbergyoni/nodebestpractices
angular,angular,9880,https://gtihub.com/angular/angular
ryanmcdermott,clean-code-javascript,9380,https://gtihub.com/ryanmcdermott/clean-code-javascript
microsoft,Web-Dev-For-Beginners,9190,https://gtihub.com/microsoft/Web-Dev-For-Beginners
