username,repo_name,stars,repo_url
AppFlowy-IO,AppFlowy,6550,https://gtihub.com/AppFlowy-IO/AppFlowy
makeplane,plane,3879,https://gtihub.com/makeplane/plane
frappe,erpnext,2830,https://gtihub.com/frappe/erpnext
mattermost-community,focalboard,2500,https://gtihub.com/mattermost-community/focalboard
hcengineering,platform,2310,https://gtihub.com/hcengineering/platform
nocobase,nocobase,1670,https://gtihub.com/nocobase/nocobase
joelparkerhenderson,architecture-decision-record,1410,https://gtihub.com/joelparkerhenderson/architecture-decision-record
opf,openproject,1270,https://gtihub.com/opf/openproject
plankanban,planka,1060,https://gtihub.com/plankanban/planka
kanboard,kanboard,919,https://gtihub.com/kanboard/kanboard
Leantime,leantime,819,https://gtihub.com/Leantime/leantime
kuaifan,dootask,530,https://gtihub.com/kuaifan/dootask
JordanKnott,taskcafe,480,https://gtihub.com/JordanKnott/taskcafe
automazeio,ccpm,470,https://gtihub.com/automazeio/ccpm
mark-when,markwhen,470,https://gtihub.com/mark-when/markwhen
bbatsov,projectile,409,https://gtihub.com/bbatsov/projectile
freeplane,freeplane,350,https://gtihub.com/freeplane/freeplane
gdcmarinho,awesome-project,320,https://gtihub.com/gdcmarinho/awesome-project
ever-co,ever-gauzy,320,https://gtihub.com/ever-co/ever-gauzy
ONLYOFFICE,CommunityServer,300,https://gtihub.com/ONLYOFFICE/CommunityServer
