username,repo_name,stars,repo_url
donnemartin,system-design-primer,32000,https://gtihub.com/donnemartin/system-design-primer
vinta,awesome-python,26000,https://gtihub.com/vinta/awesome-python
practical-tutorials,project-based-learning,24400,https://gtihub.com/practical-tutorials/project-based-learning
TheAlgorithms,Python,20700,https://gtihub.com/TheAlgorithms/Python
tensorflow,tensorflow,19200,https://gtihub.com/tensorflow/tensorflow
CyC2018,CS-Notes,18200,https://gtihub.com/CyC2018/CS-Notes
Significant-Gravitas,AutoGPT,17900,https://gtihub.com/Significant-Gravitas/AutoGPT
huggingface,transformers,15000,https://gtihub.com/huggingface/transformers
521xueweihan,HelloGitHub,12800,https://gtihub.com/521xueweihan/HelloGitHub
yt-dlp,yt-dlp,12700,https://gtihub.com/yt-dlp/yt-dlp
langchain-ai,langchain,11600,https://gtihub.com/langchain-ai/langchain
justjavac,free-programming-books-zh_CN,11500,https://gtihub.com/justjavac/free-programming-books-zh_CN
langgenius,dify,11400,https://gtihub.com/langgenius/dify
nvbn,thefuck,9400,https://gtihub.com/nvbn/thefuck
pytorch,pytorch,9320,https://gtihub.com/pytorch/pytorch
fastapi,fastapi,8960,https://gtihub.com/fastapi/fastapi
comfyanonymous,ComfyUI,8870,https://gtihub.com/comfyanonymous/ComfyUI
django,django,8500,https://gtihub.com/django/django
home-assistant,core,8140,https://gtihub.com/home-assistant/core
3b1b,manim,8059,https://gtihub.com/3b1b/manim
