username,repo_name,stars,repo_url
freeCodeCamp,freeCodeCamp,42800,https://gtihub.com/freeCodeCamp/freeCodeCamp
facebook,react,23900,https://gtihub.com/facebook/react
vercel,next.js,13500,https://gtihub.com/vercel/next.js
facebook,react-native,12400,https://gtihub.com/facebook/react-native
justjavac,free-programming-books-zh_CN,11500,https://gtihub.com/justjavac/free-programming-books-zh_CN
facebook,create-react-app,10400,https://gtihub.com/facebook/create-react-app
mui,material-ui,9660,https://gtihub.com/mui/material-ui
ant-design,ant-design,9610,https://gtihub.com/ant-design/ant-design
shadcn-ui,ui,9500,https://gtihub.com/shadcn-ui/ui
storybookjs,storybook,8770,https://gtihub.com/storybookjs/storybook
ChatGPTNextWeb,NextChat,8590,https://gtihub.com/ChatGPTNextWeb/NextChat
oven-sh,bun,8040,https://gtihub.com/oven-sh/bun
enaqx,awesome-react,6990,https://gtihub.com/enaqx/awesome-react
apache,superset,6809,https://gtihub.com/apache/superset
leonardomso,33-js-concepts,6559,https://gtihub.com/leonardomso/33-js-concepts
facebook,docusaurus,6180,https://gtihub.com/facebook/docusaurus
gatsbyjs,gatsby,5590,https://gtihub.com/gatsbyjs/gatsby
pmndrs,zustand,5470,https://gtihub.com/pmndrs/zustand
appwrite,appwrite,5280,https://gtihub.com/appwrite/appwrite
ionic-team,ionic-framework,5210,https://gtihub.com/ionic-team/ionic-framework
