username,repo_name,stars,repo_url
apache,spark,4190,https://gtihub.com/apache/spark
apache,kafka,3090,https://gtihub.com/apache/kafka
apache,flink,2530,https://gtihub.com/apache/flink
lichess-org,lila,1710,https://gtihub.com/lichess-org/lila
heibaiying,BigData-Notes,1670,https://gtihub.com/heibaiying/BigData-Notes
scala,scala,1440,https://gtihub.com/scala/scala
deeplearning4j,deeplearning4j,1410,https://gtihub.com/deeplearning4j/deeplearning4j
playframework,playframework,1260,https://gtihub.com/playframework/playframework
apache,predictionio,1250,https://gtihub.com/apache/predictionio
yahoo,CMAK,1190,https://gtihub.com/yahoo/CMAK
hmemcpy,milewski-ctfp-pdf,1140,https://gtihub.com/hmemcpy/milewski-ctfp-pdf
kanaka,mal,1050,https://gtihub.com/kanaka/mal
lk-geimfari,awesomo,969,https://gtihub.com/lk-geimfari/awesomo
gitbucket,gitbucket,930,https://gtihub.com/gitbucket/gitbucket
lauris,awesome-scala,910,https://gtihub.com/lauris/awesome-scala
twitter,finagle,880,https://gtihub.com/twitter/finagle
gatling,gatling,680,https://gtihub.com/gatling/gatling
Angel-ML,angel,680,https://gtihub.com/Angel-ML/angel
apache,zeppelin,660,https://gtihub.com/apache/zeppelin
nteract,papermill,630,https://gtihub.com/nteract/papermill
