username,repo_name,stars,repo_url
microsoft,vscode,17700,https://gtihub.com/microsoft/vscode
n8n-io,n8n,13900,https://gtihub.com/n8n-io/n8n
microsoft,TypeScript,10600,https://gtihub.com/microsoft/TypeScript
denoland,deno,10400,https://gtihub.com/denoland/deno
angular,angular,9880,https://gtihub.com/angular/angular
ant-design,ant-design,9610,https://gtihub.com/ant-design/ant-design
storybookjs,storybook,8770,https://gtihub.com/storybookjs/storybook
mermaid-js,mermaid,8300,https://gtihub.com/mermaid-js/mermaid
oven-sh,bun,8040,https://gtihub.com/oven-sh/bun
immich-app,immich,7709,https://gtihub.com/immich-app/immich
unionlabs,union,7480,https://gtihub.com/unionlabs/union
nestjs,nest,7270,https://gtihub.com/nestjs/nest
enaqx,awesome-react,6990,https://gtihub.com/enaqx/awesome-react
strapi,strapi,6959,https://gtihub.com/strapi/strapi
ionic-team,ionic-framework,5210,https://gtihub.com/ionic-team/ionic-framework
prettier,prettier,5100,https://gtihub.com/prettier/prettier
DefinitelyTyped,DefinitelyTyped,5040,https://gtihub.com/DefinitelyTyped/DefinitelyTyped
TanStack,query,4670,https://gtihub.com/TanStack/query
typescript-cheatsheets,react,4660,https://gtihub.com/typescript-cheatsheets/react
type-challenges,type-challenges,4650,https://gtihub.com/type-challenges/type-challenges
