username,repo_name,stars,repo_url
goldbergyoni,nodebestpractices,10400,https://gtihub.com/goldbergyoni/nodebestpractices
oven-sh,bun,8040,https://gtihub.com/oven-sh/bun
meteor,meteor,4470,https://gtihub.com/meteor/meteor
yarnpkg,yarn,4160,https://gtihub.com/yarnpkg/yarn
lerna,lerna,3600,https://gtihub.com/lerna/lerna
pnpm,pnpm,3270,https://gtihub.com/pnpm/pnpm
honojs,hono,2630,https://gtihub.com/honojs/hono
renovatebot,renovate,1980,https://gtihub.com/renovatebot/renovate
apify,crawlee,1950,https://gtihub.com/apify/crawlee
marticliment,UniGetUI,1839,https://gtihub.com/marticliment/UniGetUI
verdaccio,verdaccio,1720,https://gtihub.com/verdaccio/verdaccio
jaywcjlove,reference,1450,https://gtihub.com/jaywcjlove/reference
jaredpalmer,tsdx,1140,https://gtihub.com/jaredpalmer/tsdx
raineorshine,npm-check-updates,990,https://gtihub.com/raineorshine/npm-check-updates
astrit,css.gg,990,https://gtihub.com/astrit/css.gg
npm,cli,910,https://gtihub.com/npm/cli
voidcosmos,npkill,880,https://gtihub.com/voidcosmos/npkill
release-it,release-it,860,https://gtihub.com/release-it/release-it
miniMAC,magic,860,https://gtihub.com/miniMAC/magic
tsparticles,tsparticles,850,https://gtihub.com/tsparticles/tsparticles
